use QLHOCTHEM
go
delete from DIEMDANH
go
delete from LICHHOC
go
--Tuần 1 1-40
INSERT dbo.LICHHOC(MaLichHoc, NgayHoc, KipHoc, SoTiet, MaLMH, MaGV)
VALUES
('LH001', '2021-02-01',4,3,'LMH005','GV003'),
('LH002', '2021-02-01',4,3,'LMH003','GV001'),
('LH003', '2021-02-01',4,2,'LMH002','GV004'),
('LH004', '2021-02-01',5,3,'LMH008','GV009'),
('LH005', '2021-02-01',5,3,'LMH015','GV015'),
('LH006', '2021-02-02',4,3,'LMH004','GV005'),
('LH007', '2021-02-02',4,2,'LMH010','GV010'),
('LH008', '2021-02-02',4,2,'LMH011','GV011'),
('LH009', '2021-02-02',5,2,'LMH018','GV016'),
('LH010', '2021-02-02',5,3,'LMH020','GV018'),
('LH011', '2021-02-03',4,2,'LMH001','GV002'),
('LH012', '2021-02-03',4,2,'LMH006','GV007'),
('LH013', '2021-02-03',4,3,'LMH012','GV013'),
('LH014', '2021-02-03',5,2,'LMH014','GV014'),
('LH015', '2021-02-03',5,3,'LMH019','GV017'),
('LH016', '2021-02-04',4,2,'LMH007','GV006'),
('LH017', '2021-02-04',4,3,'LMH009','GV008'),
('LH018', '2021-02-04',4,3,'LMH013','GV012'),
('LH019', '2021-02-04',5,3,'LMH016','GV014'),
('LH020', '2021-02-04',5,2,'LMH017','GV016'),
('LH021', '2021-02-05',4,3,'LMH005','GV003'),
('LH022', '2021-02-05',4,3,'LMH003','GV001'),
('LH023', '2021-02-05',4,2,'LMH002','GV004'),
('LH024', '2021-02-05',5,3,'LMH008','GV009'),
('LH025', '2021-02-05',5,3,'LMH015','GV015'),
('LH026', '2021-02-06',4,3,'LMH004','GV005'),
('LH027', '2021-02-06',4,2,'LMH010','GV010'),
('LH028', '2021-02-06',4,2,'LMH011','GV011'),
('LH029', '2021-02-06',5,2,'LMH018','GV016'),
('LH030', '2021-02-06',5,3,'LMH020','GV018'),
('LH031', '2021-02-07',1,2,'LMH001','GV002'),
('LH032', '2021-02-07',1,2,'LMH006','GV007'),
('LH033', '2021-02-07',2,3,'LMH012','GV013'),
('LH034', '2021-02-07',2,2,'LMH014','GV014'),
('LH035', '2021-02-07',3,3,'LMH019','GV017'),
('LH036', '2021-02-07',3,2,'LMH007','GV006'),
('LH037', '2021-02-07',4,3,'LMH009','GV008'),
('LH038', '2021-02-07',4,3,'LMH013','GV012'),
('LH039', '2021-02-07',5,3,'LMH016','GV014'),
('LH040', '2021-02-07',5,2,'LMH017','GV016')

--Tuần 2 41-80
INSERT dbo.LICHHOC(MaLichHoc, NgayHoc, KipHoc, SoTiet, MaLMH, MaGV)
VALUES
('LH041', '2021-02-08',4,3,'LMH005','GV003'),
('LH042', '2021-02-08',4,3,'LMH003','GV001'),
('LH043', '2021-02-08',4,2,'LMH002','GV004'),
('LH044', '2021-02-08',5,3,'LMH008','GV009'),
('LH045', '2021-02-08',5,3,'LMH015','GV015'),
('LH046', '2021-02-09',4,3,'LMH004','GV005'),
('LH047', '2021-02-09',4,2,'LMH010','GV010'),
('LH048', '2021-02-09',4,2,'LMH011','GV011'),
('LH049', '2021-02-09',5,2,'LMH018','GV016'),
('LH050', '2021-02-09',5,3,'LMH020','GV018'),
('LH051', '2021-02-10',4,2,'LMH001','GV002'),
('LH052', '2021-02-10',4,2,'LMH006','GV007'),
('LH053', '2021-02-10',4,3,'LMH012','GV013'),
('LH054', '2021-02-10',5,2,'LMH014','GV014'),
('LH055', '2021-02-10',5,3,'LMH019','GV017'),
('LH056', '2021-02-11',4,2,'LMH007','GV006'),
('LH057', '2021-02-11',4,3,'LMH009','GV008'),
('LH058', '2021-02-11',4,3,'LMH013','GV012'),
('LH059', '2021-02-11',5,3,'LMH016','GV014'),
('LH060', '2021-02-11',5,2,'LMH017','GV016'),
('LH061', '2021-02-12',4,3,'LMH005','GV003'),
('LH062', '2021-02-12',4,3,'LMH003','GV001'),
('LH063', '2021-02-12',4,2,'LMH002','GV004'),
('LH064', '2021-02-12',5,3,'LMH008','GV009'),
('LH065', '2021-02-12',5,3,'LMH015','GV015'),
('LH066', '2021-02-13',4,3,'LMH004','GV005'),
('LH067', '2021-02-13',4,2,'LMH010','GV010'),
('LH068', '2021-02-13',4,2,'LMH011','GV011'),
('LH069', '2021-02-13',5,2,'LMH018','GV016'),
('LH070', '2021-02-13',5,3,'LMH020','GV018'),
('LH071', '2021-02-14',1,2,'LMH001','GV002'),
('LH072', '2021-02-14',1,2,'LMH006','GV007'),
('LH073', '2021-02-14',2,3,'LMH012','GV013'),
('LH074', '2021-02-14',2,2,'LMH014','GV014'),
('LH075', '2021-02-14',3,3,'LMH019','GV017'),
('LH076', '2021-02-14',3,2,'LMH007','GV006'),
('LH077', '2021-02-14',4,3,'LMH009','GV008'),
('LH078', '2021-02-14',4,3,'LMH013','GV012'),
('LH079', '2021-02-14',5,3,'LMH016','GV014'),
('LH080', '2021-02-14',5,2,'LMH017','GV016')

--Tuần 3 81-120
INSERT dbo.LICHHOC(MaLichHoc, NgayHoc, KipHoc, SoTiet, MaLMH, MaGV)
VALUES
('LH081', '2021-02-15',4,3,'LMH005','GV003'),
('LH082', '2021-02-15',4,3,'LMH003','GV001'),
('LH083', '2021-02-15',4,2,'LMH002','GV004'),
('LH084', '2021-02-15',5,3,'LMH008','GV009'),
('LH085', '2021-02-15',5,3,'LMH015','GV015'),
('LH086', '2021-02-16',4,3,'LMH004','GV005'),
('LH087', '2021-02-16',4,2,'LMH010','GV010'),
('LH088', '2021-02-16',4,2,'LMH011','GV011'),
('LH089', '2021-02-16',5,2,'LMH018','GV016'),
('LH090', '2021-02-16',5,3,'LMH020','GV018'),
('LH091', '2021-02-17',4,2,'LMH001','GV002'),
('LH092', '2021-02-17',4,2,'LMH006','GV007'),
('LH093', '2021-02-17',4,3,'LMH012','GV013'),
('LH094', '2021-02-17',5,2,'LMH014','GV014'),
('LH095', '2021-02-17',5,3,'LMH019','GV017'),
('LH096', '2021-02-18',4,2,'LMH007','GV006'),
('LH097', '2021-02-18',4,3,'LMH009','GV008'),
('LH098', '2021-02-18',4,3,'LMH013','GV012'),
('LH099', '2021-02-18',5,3,'LMH016','GV014'),
('LH100', '2021-02-18',5,2,'LMH017','GV016'),
('LH101', '2021-02-19',4,3,'LMH005','GV003'),
('LH102', '2021-02-19',4,3,'LMH003','GV001'),
('LH103', '2021-02-19',4,2,'LMH002','GV004'),
('LH104', '2021-02-19',5,3,'LMH008','GV009'),
('LH105', '2021-02-19',5,3,'LMH015','GV015'),
('LH106', '2021-02-20',4,3,'LMH004','GV005'),
('LH107', '2021-02-20',4,2,'LMH010','GV010'),
('LH108', '2021-02-20',4,2,'LMH011','GV011'),
('LH109', '2021-02-20',5,2,'LMH018','GV016'),
